"chapter","section","title","paragraph","bnf"
"01","01","Antacids and simeticone","01","010101"
"01","01","Compound alginates and proprietary indigestion preparations","02","010102"
"01","03","H2-receptor antagonists","01","010301"
"01","03","Selective antimuscarinics","02","010302"
"01","03","Chelates and complexes","03","010303"
"01","03","Prostaglandin analogues","04","010304"
"01","03","Proton pump inhibitors","05","010305"
"01","04","Adsorbents and bulk-forming drugs","01","010401"
"01","04","Antimotility drugs","02","010402"
"01","05","Aminosalicylates","01","010501"
"01","05","Corticosteroids","02","010502"
"01","05","Drugs affecting the immune response","03","010503"
"01","06","Bulk-forming laxatives","01","010601"
"01","06","Stimulant laxatives","02","010602"
"01","06","Faecal softeners","03","010603"
"01","06","Osmotic laxatives","04","010604"
"01","06","Bowel cleansing preparations","05","010605"
"01","06","5HT4 receptor agonists","07","010607"
"01","07","Soothing haemorrhoidal preparations","01","010701"
"01","07","Compound haemorrhoidal preparations with corticosteroids","02","010702"
"01","07","Rectal sclerosants","03","010703"
"01","07","Management of anal fissures","04","010704"
"01","09","Drugs affecting biliary composition and flow","01","010901"
"01","09","Pancreatin","04","010904"
"02","01","Cardiac glycosides","01","020101"
"02","01","Phosphodiesterase type-3 inhibitors","02","020102"
"02","02","Thiazides and related diuretics","01","020201"
"02","02","Loop diuretics","02","020202"
"02","02","Potassium-sparing diuretics and aldosterone antagonists","03","020203"
"02","02","Potassium-sparing diuretics with other diuretics","04","020204"
"02","02","Osmotic diuretics","05","020205"
"02","02","Carbonic anhydrase inhibitors","07","020207"
"02","03","Management of arrhythmias","01","020301"
"02","03","Drugs for arrhythmias","02","020302"
"02","05","Vasodilator antihypertensive drugs","01","020501"
"02","05","Centrally acting antihypertensive drugs","02","020502"
"02","05","Adrenergic neurone blocking drugs","03","020503"
"02","05","Alpha-adrenoceptor blocking drugs","04","020504"
"02","05","Drugs affecting the renin-angiotensin system","05","020505"
"02","06","Nitrates","01","020601"
"02","06","Calcium-channel blockers","02","020602"
"02","06","Other antianginal drugs","03","020603"
"02","06","Peripheral vasodilators and related drugs","04","020604"
"02","07","Inotropic sympathomimetics","01","020701"
"02","07","Vasoconstrictor sympathomimetics","02","020702"
"02","07","Cardiopulmonary resuscitation","03","020703"
"02","08","Parenteral anticoagulants","01","020801"
"02","08","Oral anticoagulants","02","020802"
"02","08","Protamine sulphate","03","020803"
"02","10","Management of stable angina and acute coronary syndromes","01","021001"
"02","10","Fibrinolytic drugs","02","021002"
"03","01","Adrenoceptor agonists","01","030101"
"03","01","Antimuscarinic bronchodilators","02","030102"
"03","01","Theophylline","03","030103"
"03","01","Compound bronchodilator preparations","04","030104"
"03","01","Peak flow meters, inhaler devices and nebulisers","05","030105"
"03","03","Cromoglicate and related therapy","01","030301"
"03","03","Leukotriene receptor antagonists","02","030302"
"03","03","Phosphodiesterase type-4 inhibitors","03","030303"
"03","04","Antihistamines","01","030401"
"03","04","Allergen Immunotherapy (contains Omalizumab)","02","030402"
"03","04","Allergic emergencies","03","030403"
"03","05","Respiratory stimulants","01","030501"
"03","05","Pulmonary surfactants","02","030502"
"03","09","Cough suppressants","01","030901"
"03","09","Expectorant and demulcent cough preparations","02","030902"
"04","01","Hypnotics","01","040101"
"04","01","Anxiolytics","02","040102"
"04","01","Barbiturates","03","040103"
"04","02","Antipsychotic drugs","01","040201"
"04","02","Antipsychotic depot injections","02","040202"
"04","02","Antimanic drugs","03","040203"
"04","03","Tricyclic and related antidepressant drugs","01","040301"
"04","03","Monoamine-oxidase inhibitors (MAOIs)","02","040302"
"04","03","Selective serotonin re-uptake inhibitors","03","040303"
"04","03","Other antidepressant drugs","04","040304"
"04","05","Anti-obesity drugs acting on the gastro-intestinal tract","01","040501"
"04","05","Centrally acting appetite suppressants","02","040502"
"04","07","Non-opioid analgesics and compound analgesic preparations","01","040701"
"04","07","Opioid analgesics","02","040702"
"04","07","Neuropathic pain","03","040703"
"04","07","Antimigraine drugs","04","040704"
"04","08","Control of epilepsy","01","040801"
"04","08","Drugs used in status epilepticus","02","040802"
"04","08","Febrile convulsions","03","040803"
"04","09","Dopaminergic drugs used in Parkinson's disease","01","040901"
"04","09","Antimuscarinic drugs used in parkinsonism","02","040902"
"04","09","Drugs used in essential tremor, chorea, tics, and related disorders","03","040903"
"04","10","Alcohol dependence","01","041001"
"04","10","Nicotine dependence","02","041002"
"04","10","Opioid dependence","03","041003"
"05","01","Penicillins","01","050101"
"05","01","Cephalosporins, carbapenems, and other beta-lactams","02","050102"
"05","01","Tetracyclines","03","050103"
"05","01","Aminoglycosides","04","050104"
"05","01","Macrolides","05","050105"
"05","01","Clindamycin","06","050106"
"05","01","Some other antibacterials","07","050107"
"05","01","Sulphonamides and trimethoprim","08","050108"
"05","01","Antituberculosis drugs","09","050109"
"05","01","Antileprotic drugs","10","050110"
